增发比例 d%,新增股本占比,新每股终值 F',稀释率 %,线性近似 %,实际-线性(非线性差)
0%,0.0000,10.0000,0.0000,0.0000,0.0000
0%,0.0050,9.9552,0.4478,0.4500,-0.0022
1%,0.0100,9.9109,0.8911,0.9000,-0.0089
2%,0.0150,9.8670,1.3300,1.3500,-0.0200
2%,0.0200,9.8235,1.7647,1.8000,-0.0353
2%,0.0250,9.7805,2.1951,2.2500,-0.0549
3%,0.0300,9.7379,2.6214,2.7000,-0.0786
4%,0.0350,9.6957,3.0435,3.1500,-0.1065
4%,0.0400,9.6538,3.4615,3.6000,-0.1385
4%,0.0450,9.6124,3.8756,4.0500,-0.1744
5%,0.0500,9.5714,4.2857,4.5000,-0.2143
6%,0.0550,9.5308,4.6919,4.9500,-0.2581
6%,0.0600,9.4906,5.0943,5.4000,-0.3057
6%,0.0650,9.4507,5.4930,5.8500,-0.3570
7%,0.0700,9.4112,5.8879,6.3000,-0.4121
8%,0.0750,9.3721,6.2791,6.7500,-0.4709
8%,0.0800,9.3333,6.6667,7.2000,-0.5333
8%,0.0850,9.2949,7.0507,7.6500,-0.5993
9%,0.0900,9.2569,7.4312,8.1000,-0.6688
10%,0.0950,9.2192,7.8082,8.5500,-0.7418
10%,0.1000,9.1818,8.1818,9.0000,-0.8182
10%,0.1050,9.1448,8.5520,9.4500,-0.8980
11%,0.1100,9.1081,8.9189,9.9000,-0.9811
12%,0.1150,9.0717,9.2825,10.3500,-1.0675
12%,0.1200,9.0357,9.6429,10.8000,-1.1571
12%,0.1250,9.0000,10.0000,11.2500,-1.2500
13%,0.1300,8.9646,10.3540,11.7000,-1.3460
14%,0.1350,8.9295,10.7048,12.1500,-1.4452
14%,0.1400,8.8947,11.0526,12.6000,-1.5474
14%,0.1450,8.8603,11.3974,13.0500,-1.6526
15%,0.1500,8.8261,11.7391,13.5000,-1.7609
16%,0.1550,8.7922,12.0779,13.9500,-1.8721
16%,0.1600,8.7586,12.4138,14.4000,-1.9862
16%,0.1650,8.7253,12.7468,14.8500,-2.1032
17%,0.1700,8.6923,13.0769,15.3000,-2.2231
18%,0.1750,8.6596,13.4043,15.7500,-2.3457
18%,0.1800,8.6271,13.7288,16.2000,-2.4712
18%,0.1850,8.5949,14.0506,16.6500,-2.5994
19%,0.1900,8.5630,14.3697,17.1000,-2.7303
20%,0.1950,8.5314,14.6862,17.5500,-2.8638
20%,0.2000,8.5000,15.0000,18.0000,-3.0000
20%,0.2050,8.4689,15.3112,18.4500,-3.1388
21%,0.2100,8.4380,15.6198,18.9000,-3.2802
22%,0.2150,8.4074,15.9259,19.3500,-3.4241
22%,0.2200,8.3770,16.2295,19.8000,-3.5705
22%,0.2250,8.3469,16.5306,20.2500,-3.7194
23%,0.2300,8.3171,16.8293,20.7000,-3.8707
24%,0.2350,8.2874,17.1255,21.1500,-4.0245
24%,0.2400,8.2581,17.4194,21.6000,-4.1806
24%,0.2450,8.2289,17.7108,22.0500,-4.3392
25%,0.2500,8.2000,18.0000,22.5000,-4.5000
26%,0.2550,8.1713,18.2869,22.9500,-4.6631
26%,0.2600,8.1429,18.5714,23.4000,-4.8286
26%,0.2650,8.1146,18.8538,23.8500,-4.9962
27%,0.2700,8.0866,19.1339,24.3000,-5.1661
28%,0.2750,8.0588,19.4118,24.7500,-5.3382
28%,0.2800,8.0312,19.6875,25.2000,-5.5125
29%,0.2850,8.0039,19.9611,25.6500,-5.6889
29%,0.2900,7.9767,20.2326,26.1000,-5.8674
30%,0.2950,7.9498,20.5019,26.5500,-6.0481
30%,0.3000,7.9231,20.7692,27.0000,-6.2308
30%,0.3050,7.8966,21.0345,27.4500,-6.4155
31%,0.3100,7.8702,21.2977,27.9000,-6.6023
32%,0.3150,7.8441,21.5589,28.3500,-6.7911
32%,0.3200,7.8182,21.8182,28.8000,-6.9818
32%,0.3250,7.7925,22.0755,29.2500,-7.1745
33%,0.3300,7.7669,22.3308,29.7000,-7.3692
34%,0.3350,7.7416,22.5843,30.1500,-7.5657
34%,0.3400,7.7164,22.8358,30.6000,-7.7642
34%,0.3450,7.6914,23.0855,31.0500,-7.9645
35%,0.3500,7.6667,23.3333,31.5000,-8.1667
36%,0.3550,7.6421,23.5793,31.9500,-8.3707
36%,0.3600,7.6176,23.8235,32.4000,-8.5765
36%,0.3650,7.5934,24.0659,32.8500,-8.7841
37%,0.3700,7.5693,24.3066,33.3000,-8.9934
38%,0.3750,7.5455,24.5455,33.7500,-9.2045
38%,0.3800,7.5217,24.7826,34.2000,-9.4174
38%,0.3850,7.4982,25.0181,34.6500,-9.6319
39%,0.3900,7.4748,25.2518,35.1000,-9.8482
40%,0.3950,7.4516,25.4839,35.5500,-10.0661
40%,0.4000,7.4286,25.7143,36.0000,-10.2857
40%,0.4050,7.4057,25.9431,36.4500,-10.5069
41%,0.4100,7.3830,26.1702,36.9000,-10.7298
42%,0.4150,7.3604,26.3958,37.3500,-10.9542
42%,0.4200,7.3380,26.6197,37.8000,-11.1803
42%,0.4250,7.3158,26.8421,38.2500,-11.4079
43%,0.4300,7.2937,27.0629,38.7000,-11.6371
44%,0.4350,7.2718,27.2822,39.1500,-11.8678
44%,0.4400,7.2500,27.5000,39.6000,-12.1000
